DATE,GEOGRAPHY_LEVEL,GEOGRAPHY_NAME,DEMOGRAPHIC_GROUP,DEMOGRAPHIC_CATEGORY,PARTIALLY_OR_FULLY_VACCINATED_PERSONS,FULLY_VACCINATED_PERSONS,POPULATION,PARTIALLY_OF_FULLY_VACCINATED_PERCENT,FULLY_VACCINATED_PERCENT,TOTAL_DOSES_ADMINISTERED,TOTAL_DOSES_DISTRIBUTED,SOURCEINFO,USAFACTS_INGESTION_DATE
11/24/2021,State,Colorado,Total,Total,4085143,3623786,5758736,0.709381885,0.629267603,8488178,10105605,CDC State and National Vaccination Data,2021-11-27T12:25:12.104Z
11/24/2021,State,Arkansas,Total,Total,1809847,1480277,3017804,0.599723176,0.490514626,3474961,4877430,CDC State and National Vaccination Data,2021-11-27T12:25:12.104Z
11/24/2021,State,Alaska,Total,Total,455580,395164,731545,0.62276415,0.540177296,946031,1269725,CDC State and National Vaccination Data,2021-11-27T12:25:12.104Z
11/24/2021,State,Alabama,Total,Total,2755913,2254666,4903185,0.562065882,0.459837024,5191035,7847520,CDC State and National Vaccination Data,2021-11-27T12:25:12.104Z
11/24/2021,State,Connecticut,Total,Total,2970430,2558052,3565287,0.833153123,0.717488382,5898047,6806625,CDC State and National Vaccination Data,2021-11-27T12:25:12.104Z
11/24/2021,State,California,Total,Total,30886780,24827738,39512223,0.781701905,0.628355889,58715000,70403965,CDC State and National Vaccination Data,2021-11-27T12:25:12.104Z
11/24/2021,State,Arizona,Total,Total,4641772,3961885,7278717,0.637718433,0.5443109,9458251,11718130,CDC State and National Vaccination Data,2021-11-27T12:25:12.104Z
11/23/2021,State,Arizona,Total,Total,4633914,3958592,7278717,0.636638847,0.543858485,9431124,11682210,CDC State and National Vaccination Data,2021-11-24T08:25:11.854Z
11/22/2021,State,Arizona,Total,Total,4629057,3956455,7278717,0.635971559,0.543564889,9415079,11655260,CDC State and National Vaccination Data,2021-11-23T12:25:15.174Z
11/21/2021,State,Arizona,Total,Total,4618349,3952853,7278717,0.634500421,0.543070022,9385009,11660880,CDC State and National Vaccination Data,2021-11-22T08:25:11.635Z
11/20/2021,State,Arizona,Total,Total,4606569,3947977,7278717,0.632882004,0.542400124,9346719,11665820,CDC State and National Vaccination Data,2021-11-21T16:25:11.753Z
11/19/2021,State,Arizona,Total,Total,4594595,3943778,7278717,0.631236934,0.541823236,9311244,11593260,CDC State and National Vaccination Data,2021-11-20T12:25:12.069Z
11/18/2021,State,Arizona,Total,Total,4582346,3939188,7278717,0.629554082,0.541192631,9274451,11552250,CDC State and National Vaccination Data,2021-11-19T12:25:11.370Z
11/17/2021,State,Arizona,Total,Total,4570804,3933703,7278717,0.627968363,0.540439064,9237418,11493710,CDC State and National Vaccination Data,2021-11-18T12:25:11.791Z
11/16/2021,State,Arizona,Total,Total,4560874,3930108,7278717,0.626604112,0.539945158,9209877,11464240,CDC State and National Vaccination Data,2021-11-17T12:25:12.319Z
11/15/2021,State,Arizona,Total,Total,4555875,3928142,7278717,0.625917315,0.539675055,9195974,11456920,CDC State and National Vaccination Data,2021-11-16T08:25:17.400Z
11/14/2021,State,Arizona,Total,Total,4545285,3924521,7278717,0.624462388,0.539177578,9166286,11460800,CDC State and National Vaccination Data,2021-11-15T08:25:12.303Z
11/13/2021,State,Arizona,Total,Total,4533202,3919108,7278717,0.622802343,0.538433903,9131878,11464260,CDC State and National Vaccination Data,2021-11-14T12:25:12.563Z
11/12/2021,State,Arizona,Total,Total,4516409,3910930,7278717,0.620495205,0.537310353,9073078,11408370,CDC State and National Vaccination Data,2021-11-13T12:25:14.385Z
11/10/2021,State,Arizona,Total,Total,4503839,3904725,7278717,0.618768253,0.536457868,9031636,11197660,CDC State and National Vaccination Data,2021-11-12T12:25:13.739Z
11/9/2021,State,Arizona,Total,Total,4499482,3901482,7278717,0.618169658,0.536012322,9012914,11145560,CDC State and National Vaccination Data,2021-11-10T12:25:11.929Z
11/8/2021,State,Arizona,Total,Total,4496639,3899480,7278717,0.617779067,0.535737273,9001705,11101560,CDC State and National Vaccination Data,2021-11-09T08:25:11.965Z
11/7/2021,State,Arizona,Total,Total,4491173,3894266,7278717,0.617028111,0.535020938,8971868,11101560,CDC State and National Vaccination Data,2021-11-08T12:25:13.946Z
11/6/2021,State,Arizona,Total,Total,4484322,3888617,7278717,0.616086874,0.53424484,8939173,11084480,CDC State and National Vaccination Data,2021-11-07T08:25:13.961Z
11/5/2021,State,Arizona,Total,Total,4478629,3884433,7278717,0.61530473,0.533670014,8913486,11062640,CDC State and National Vaccination Data,2021-11-06T09:25:14.400Z
11/4/2021,State,Arizona,Total,Total,4474628,3881149,7278717,0.614755045,0.533218835,8893654,10983690,CDC State and National Vaccination Data,2021-11-05T13:25:14.371Z
11/3/2021,State,Arizona,Total,Total,4469555,3876474,7278717,0.614058082,0.532576552,8870506,10927290,CDC State and National Vaccination Data,2021-11-04T09:25:08.130Z
11/2/2021,State,Arizona,Total,Total,4466132,3873343,7278717,0.613587807,0.532146393,8854031,10846160,CDC State and National Vaccination Data,2021-11-03T13:25:13.071Z
11/1/2021,State,Arizona,Total,Total,4463519,3870604,7278717,0.613228815,0.531770091,8839037,10822530,CDC State and National Vaccination Data,2021-11-02T09:25:13.424Z
10/31/2021,State,Arizona,Total,Total,4459210,3866294,7278717,0.612636815,0.531177953,8814272,10824600,CDC State and National Vaccination Data,2021-11-01T09:25:12.301Z
10/30/2021,State,Arizona,Total,Total,4454234,3861457,7278717,0.611953178,0.530513413,8786281,10826310,CDC State and National Vaccination Data,2021-10-31T09:25:12.377Z
10/29/2021,State,Arizona,Total,Total,4448736,3856438,7278717,0.611197825,0.529823869,8757052,10763780,CDC State and National Vaccination Data,2021-10-30T09:25:12.399Z
10/28/2021,State,Arizona,Total,Total,4443359,3851270,7278717,0.610459096,0.529113853,8727934,10673230,CDC State and National Vaccination Data,2021-10-29T09:25:13.199Z
10/27/2021,State,Arizona,Total,Total,4436703,3844830,7278717,0.609544649,0.528229082,8693284,10579670,CDC State and National Vaccination Data,2021-10-28T09:25:08.270Z
