,DATE,GEOGRAPHY_NAME,PARTIALLY_OR_FULLY_VACCINATED_PERSONS,FULLY_VACCINATED_PERSONS,POPULATION,PARTIALLY_OF_FULLY_VACCINATED_PERCENT,FULLY_VACCINATED_PERCENT,TOTAL_DOSES_ADMINISTERED,TOTAL_DOSES_DISTRIBUTED
0,11/24/2021,Colorado,4085143,3623786,5758736,0.709381885,0.629267603,8488178,10105605
1,11/24/2021,Arkansas,1809847,1480277,3017804,0.599723176,0.490514626,3474961,4877430
2,11/24/2021,Alaska,455580,395164,731545,0.62276415,0.540177296,946031,1269725
3,11/24/2021,Alabama,2755913,2254666,4903185,0.562065882,0.459837024,5191035,7847520
4,11/24/2021,Connecticut,2970430,2558052,3565287,0.833153123,0.717488382,5898047,6806625
5,11/24/2021,California,30886780,24827738,39512223,0.781701905,0.628355889,58715000,70403965
6,11/24/2021,Arizona,4641772,3961885,7278717,0.637718433,0.5443109,9458251,11718130
7,11/23/2021,Arizona,4633914,3958592,7278717,0.636638847,0.543858485,9431124,11682210
8,11/22/2021,Arizona,4629057,3956455,7278717,0.635971559,0.543564889,9415079,11655260
9,11/21/2021,Arizona,4618349,3952853,7278717,0.634500421,0.543070022,9385009,11660880
10,11/20/2021,Arizona,4606569,3947977,7278717,0.632882004,0.542400124,9346719,11665820
11,11/19/2021,Arizona,4594595,3943778,7278717,0.631236934,0.541823236,9311244,11593260
12,11/18/2021,Arizona,4582346,3939188,7278717,0.629554082,0.541192631,9274451,11552250
13,11/17/2021,Arizona,4570804,3933703,7278717,0.627968363,0.540439064,9237418,11493710
14,11/16/2021,Arizona,4560874,3930108,7278717,0.626604112,0.539945158,9209877,11464240
15,11/15/2021,Arizona,4555875,3928142,7278717,0.625917315,0.539675055,9195974,11456920
16,11/14/2021,Arizona,4545285,3924521,7278717,0.624462388,0.539177578,9166286,11460800
17,11/13/2021,Arizona,4533202,3919108,7278717,0.622802343,0.538433903,9131878,11464260
18,11/12/2021,Arizona,4516409,3910930,7278717,0.620495205,0.537310353,9073078,11408370
19,11/10/2021,Arizona,4503839,3904725,7278717,0.618768253,0.536457868,9031636,11197660
20,11/9/2021,Arizona,4499482,3901482,7278717,0.618169658,0.536012322,9012914,11145560
21,11/8/2021,Arizona,4496639,3899480,7278717,0.617779067,0.535737273,9001705,11101560
22,11/7/2021,Arizona,4491173,3894266,7278717,0.617028111,0.535020938,8971868,11101560
23,11/6/2021,Arizona,4484322,3888617,7278717,0.616086874,0.53424484,8939173,11084480
24,11/5/2021,Arizona,4478629,3884433,7278717,0.61530473,0.533670014,8913486,11062640
25,11/4/2021,Arizona,4474628,3881149,7278717,0.614755045,0.533218835,8893654,10983690
26,11/3/2021,Arizona,4469555,3876474,7278717,0.614058082,0.532576552,8870506,10927290
27,11/2/2021,Arizona,4466132,3873343,7278717,0.613587807,0.532146393,8854031,10846160
28,11/1/2021,Arizona,4463519,3870604,7278717,0.613228815,0.531770091,8839037,10822530
29,10/31/2021,Arizona,4459210,3866294,7278717,0.612636815,0.531177953,8814272,10824600
30,10/30/2021,Arizona,4454234,3861457,7278717,0.611953178,0.530513413,8786281,10826310
31,10/29/2021,Arizona,4448736,3856438,7278717,0.611197825,0.529823869,8757052,10763780
32,10/28/2021,Arizona,4443359,3851270,7278717,0.610459096,0.529113853,8727934,10673230
33,10/27/2021,Arizona,4436703,3844830,7278717,0.609544649,0.528229082,8693284,10579670
34,10/26/2021,Arizona,4432717,3840813,7278717,0.608997025,0.527677199,8674092,10512540
35,10/25/2021,Arizona,4435215,3842005,7278717,0.609340218,0.527840964,8656911,10500600
36,10/24/2021,Arizona,4431814,3838342,7278717,0.608872965,0.527337716,8638806,10503020
37,10/23/2021,Arizona,4426640,3833436,7278717,0.608162125,0.526663696,8617622,10503880
38,10/22/2021,Arizona,4422905,3829511,7278717,0.607648985,0.526124453,8602398,10471530
39,10/21/2021,Arizona,4410454,3819100,7278717,0.605938382,0.524694118,8578327,10410270
40,10/20/2021,Arizona,4405715,3814209,7278717,0.605287305,0.524022159,8559033,10370610
41,10/19/2021,Arizona,4402341,3810774,7278717,0.604823762,0.523550236,8546248,10342680
42,10/18/2021,Arizona,4399936,3808170,7278717,0.604493347,0.52319248,8537316,10330730
43,10/17/2021,Arizona,4395567,3804240,7278717,0.603893104,0.52265255,8522431,10332930
44,10/16/2021,Arizona,4390814,3799266,7278717,0.603240104,0.521969188,8504171,10337970
45,10/15/2021,Arizona,4385129,3793586,7278717,0.60245906,0.52118883,8483111,10301590
46,10/14/2021,Arizona,4380163,3788304,7278717,0.601776797,0.520463153,8464145,10232820
47,10/13/2021,Arizona,4374569,3782723,7278717,0.601008255,0.519696397,8444747,10186170
48,10/12/2021,Arizona,4371177,3778818,7278717,0.600542238,0.519159901,8431426,10174060
49,10/9/2021,Arizona,4361465,3768114,7278717,0.599207937,0.517689313,8393061,10172860
50,10/8/2021,Arizona,4355944,3762179,7278717,0.598449425,0.516873922,8370474,10143070
51,10/7/2021,Arizona,4348042,3754440,7278717,0.597363794,0.515810685,8343353,10036740
52,10/6/2021,Arizona,4343971,3750483,7278717,0.596804492,0.515267045,8327793,10006630
53,10/5/2021,Arizona,4340566,3747008,7278717,0.59633669,0.514789626,8315638,9983880
54,10/4/2021,Arizona,4336974,3742784,7278717,0.595843196,0.514209304,8301993,9972750
55,10/3/2021,Arizona,4331906,3736282,7278717,0.595146919,0.513316014,8278599,9973870
56,10/2/2021,Arizona,4323895,3726363,7278717,0.594046313,0.511953274,8243182,9950100
57,10/1/2021,Arizona,4320252,3722711,7278717,0.593545813,0.511451537,8230420,9938490
58,9/30/2021,Arizona,4315832,3718393,7278717,0.592938563,0.510858301,8214287,9852670
59,9/29/2021,Arizona,4311856,3714729,7278717,0.592392313,0.510354916,8200157,9843760
60,9/28/2021,Arizona,4308119,3710533,7278717,0.591878898,0.50977844,8187828,9828950
61,9/27/2021,Arizona,4304938,3707131,7278717,0.591441871,0.50931105,8176626,9821230
62,9/26/2021,Arizona,4300913,3702564,7278717,0.590888889,0.508683605,8163166,9821230
63,9/25/2021,Arizona,4294793,3695439,7278717,0.590048081,0.507704723,8146454,9821370
64,9/24/2021,Arizona,4289019,3689138,7278717,0.58925481,0.506839049,8132315,9801400
65,9/23/2021,Arizona,4283886,3683438,7278717,0.588549603,0.506055944,8119649,9778140
66,9/22/2021,Arizona,4278169,3676582,7278717,0.587764162,0.505114019,8105456,9768630
67,9/21/2021,Arizona,4274119,3671606,7278717,0.587207746,0.504430382,8095514,9756240
68,9/20/2021,Arizona,4269262,3666693,7278717,0.586540458,0.503755401,8084761,9752500
69,9/19/2021,Arizona,4263962,3660650,7278717,0.585812307,0.502925172,8072515,9752500
70,9/18/2021,Arizona,4257887,3653801,7278717,0.584977682,0.50198421,8058815,9752500
71,9/17/2021,Arizona,4252340,3647534,7278717,0.584215597,0.501123206,8045806,9711660
72,9/16/2021,Arizona,4245213,3639739,7278717,0.583236441,0.500052276,8029150,9677770
73,9/15/2021,Arizona,4238085,3632266,7278717,0.582257148,0.499025584,8012829,9655990
74,9/14/2021,Arizona,4233177,3626908,7278717,0.581582853,0.498289465,8001766,9629670
75,9/13/2021,Arizona,4227010,3621676,7278717,0.580735588,0.497570657,7989607,9605950
76,9/12/2021,Arizona,4219928,3614798,7278717,0.579762615,0.49662571,7974400,9605950
77,9/11/2021,Arizona,4212977,3607989,7278717,0.578807639,0.495690243,7959386,9605950
78,9/10/2021,Arizona,4205103,3600809,7278717,0.577725855,0.494703806,7942312,9549970
79,9/9/2021,Arizona,4197684,3592704,7278717,0.576706582,0.493590285,7924996,9515760
80,9/8/2021,Arizona,4194478,3588996,7278717,0.576266119,0.493080855,7917526,9508120
81,9/7/2021,Arizona,4191297,3585953,7278717,0.575829092,0.492662787,7911114,9504840
82,9/4/2021,Arizona,4172707,3568380,7278717,0.57327507,0.490248487,7871103,9505440
83,9/3/2021,Arizona,4165994,3561672,7278717,0.572352792,0.489326896,7855715,9466190
84,9/2/2021,Arizona,4139735,3499085,7278717,0.568745151,0.480728266,7602465,9424740
85,9/1/2021,Arizona,4133279,3492547,7278717,0.567858182,0.47983003,7588261,9374070
86,8/31/2021,Arizona,4126485,3485349,7278717,0.566924775,0.47884112,7573202,9336690
87,8/30/2021,Arizona,4121994,3480885,7278717,0.566307771,0.478227825,7563719,9328230
88,8/29/2021,Arizona,4113416,3472930,7278717,0.565129267,0.477134913,7545639,9328230
89,8/28/2021,Arizona,4103699,3464639,7278717,0.563794279,0.475995838,7526215,9316470
90,8/27/2021,Arizona,4094831,3457097,7278717,0.562575932,0.474959667,7508553,9281230
91,8/26/2021,Arizona,4085580,3448771,7278717,0.561304966,0.473815784,7489034,9235110
92,8/25/2021,Arizona,4076371,3440902,7278717,0.560039771,0.472734687,7470149,9163550
93,8/24/2021,Arizona,4069535,3434438,7278717,0.559100594,0.471846618,7456104,9131170
94,8/23/2021,Arizona,4065735,3431020,7278717,0.558578524,0.47137703,7448382,9131170
95,8/22/2021,Arizona,4057082,3422948,7278717,0.557389716,0.470268043,7429859,9131170
96,8/21/2021,Arizona,4049314,3416063,7278717,0.556322495,0.469322135,7414066,9131170
97,8/20/2021,Arizona,4040296,3408714,7278717,0.55508354,0.468312479,7395732,9065880
98,8/19/2021,Arizona,4023573,3394936,7278717,0.55278602,0.466419563,7361667,8995400
99,8/18/2021,Arizona,4021634,3393771,7278717,0.552519627,0.466259507,7359223,8925870
100,8/17/2021,Arizona,4015261,3388691,7278717,0.55164406,0.465561582,7347251,8901590
101,8/16/2021,Arizona,4010968,3385335,7278717,0.551054259,0.465100512,7339062,8881820
102,8/15/2021,Arizona,4001959,3379160,7278717,0.54981654,0.464252148,7323382,8881820
103,8/14/2021,Arizona,3992849,3373163,7278717,0.548564946,0.463428239,7308847,8868770
104,8/13/2021,Arizona,3980872,3360537,7278717,0.546919464,0.461693592,7284228,8859840
105,8/12/2021,Arizona,3962971,3348704,7278717,0.544460102,0.460067894,7253931,8795540
106,8/11/2021,Arizona,3956517,3344365,7278717,0.543573407,0.459471772,7243338,8747550
107,8/10/2021,Arizona,3950148,3340305,7278717,0.54269839,0.458913982,7233060,8735630
108,8/9/2021,Arizona,3944780,3337543,7278717,0.541960898,0.458534519,7225116,8724210
109,8/8/2021,Arizona,3934473,3332161,7278717,0.540544852,0.457795103,7209235,8724410
110,8/7/2021,Arizona,3926057,3327357,7278717,0.539388604,0.457135097,7196555,8724550
111,8/6/2021,Arizona,3916686,3322203,7278717,0.538101152,0.456427005,7182354,8685220
112,8/5/2021,Arizona,3903168,3314379,7278717,0.536243956,0.45535209,7160555,8629370
113,8/4/2021,Arizona,3893533,3309350,7278717,0.534920234,0.454661172,7146081,8598140
114,8/3/2021,Arizona,3884930,3305583,7278717,0.533738295,0.454143635,7133606,8586430
115,8/2/2021,Arizona,3871584,3299000,7278717,0.53190473,0.453239218,7113423,8577780
116,8/1/2021,Arizona,3871294,3298893,7278717,0.531864888,0.453224517,7113311,8577780
117,7/31/2021,Arizona,3862065,3294048,7278717,0.530596944,0.452558878,7099611,8577780
118,7/30/2021,Arizona,3853257,3289110,7278717,0.529386841,0.451880462,7085856,8540830
119,7/29/2021,Arizona,3841746,3283173,7278717,0.527805381,0.451064796,7068316,8513250
120,7/28/2021,Arizona,3834491,3279400,7278717,0.526808639,0.450546436,7057355,8446190
121,7/27/2021,Arizona,3827054,3275902,7278717,0.525786893,0.450065856,7046449,8438340
122,7/26/2021,Arizona,3821791,3273451,7278717,0.525063827,0.449729121,7038803,8426880
123,7/25/2021,Arizona,3813660,3269265,7278717,0.523946734,0.44915402,7026434,8426880
124,7/24/2021,Arizona,3805849,3264446,7278717,0.522873605,0.448491953,7013800,8426600
125,7/23/2021,Arizona,3798435,3259542,7278717,0.521855019,0.447818208,7001414,8399110
126,7/22/2021,Arizona,3791136,3254456,7278717,0.520852233,0.447119458,6988716,8355310
127,7/21/2021,Arizona,3784173,3249256,7278717,0.519895608,0.446405046,6976583,8336240
128,7/20/2021,Arizona,3778555,3245176,7278717,0.519123769,0.445844508,6966636,8322660
129,7/19/2021,Arizona,3775565,3242582,7278717,0.518712982,0.445488127,6961423,8320990
130,7/18/2021,Arizona,3771082,3239067,7278717,0.518097077,0.445005212,6953781,8321090
131,7/17/2021,Arizona,3764742,3233494,7278717,0.517226044,0.444239555,6942123,8321190
132,7/16/2021,Arizona,3758455,3228012,7278717,0.516362293,0.4434864,6930887,8298080
133,7/15/2021,Arizona,3752339,3221874,7278717,0.515522035,0.44264312,6918832,8277360
134,7/14/2021,Arizona,3746711,3216251,7278717,0.514748822,0.441870593,6907835,8254080
135,7/13/2021,Arizona,3742271,3211118,7278717,0.514138824,0.441165387,6898130,8246730
136,7/12/2021,Arizona,3739001,3208025,7278717,0.513689569,0.440740449,6892308,8243660
137,7/11/2021,Arizona,3734606,3203256,7278717,0.513085754,0.440085251,6883472,8243660
138,7/10/2021,Arizona,3728161,3196388,7278717,0.512200296,0.439141678,6870625,8243660
139,7/9/2021,Arizona,3721733,3188969,7278717,0.511317173,0.438122405,6856821,8212750
140,7/8/2021,Arizona,3715441,3181391,7278717,0.510452735,0.437081288,6842949,8195000
141,7/7/2021,Arizona,3709771,3174885,7278717,0.509673752,0.436187449,6830858,8141580
142,7/6/2021,Arizona,3707397,3172380,7278717,0.509347595,0.435843295,6826215,8141580
143,7/4/2021,Arizona,3701295,3166283,7278717,0.508509261,0.435005647,6814338,8141580
144,7/3/2021,Arizona,3691058,3155675,7278717,0.507102831,0.433548248,6795043,8141580
145,7/2/2021,Arizona,3683827,3147844,7278717,0.506109387,0.432472371,6781580,8129700
146,7/1/2021,Arizona,3677400,3140316,7278717,0.505226402,0.431438123,6768593,8117300
147,6/30/2021,Arizona,3607576,2929104,7278717,0.495633502,0.402420372,6496635,8111060
148,6/29/2021,Arizona,3601676,2922840,7278717,0.49482292,0.40155978,6485370,8110360
149,6/28/2021,Arizona,3598714,2918776,7278717,0.49441598,0.40100144,6478654,8094410
150,6/27/2021,Arizona,3589792,2899098,7278717,0.493190215,0.398297942,6449374,8094410
151,6/26/2021,Arizona,3581918,2884799,7278717,0.492108431,0.396333447,6427731,8094410
152,6/25/2021,Arizona,3574736,2874155,7278717,0.491121718,0.394871102,6410375,8071900
153,6/24/2021,Arizona,3567569,2865109,7278717,0.490137067,0.3936283,6394880,8041530
154,6/23/2021,Arizona,3559571,2858120,7278717,0.489038247,0.392668103,6381113,8032030
155,6/22/2021,Arizona,3554332,2852375,7278717,0.488318477,0.391878816,6370509,8027030
156,6/21/2021,Arizona,3544231,2839623,7278717,0.486930732,0.390126859,6347847,8021020
157,6/20/2021,Arizona,3543792,2839049,7278717,0.48687042,0.390047999,6347146,8021020
158,6/19/2021,Arizona,3536550,2830089,7278717,0.485875464,0.388817013,6331444,8021020
159,6/18/2021,Arizona,3526830,2819329,7278717,0.484540064,0.38733873,6311129,7995520
160,6/17/2021,Arizona,3518666,2808680,7278717,0.483418438,0.385875698,6292764,7966240
161,6/16/2021,Arizona,3495529,2775927,7278717,0.480239718,0.381375866,6237009,7951295
162,6/15/2021,Arizona,3495144,2775508,7278717,0.480186824,0.381318301,6236785,7946275
163,6/14/2021,Arizona,3489208,2765408,7278717,0.479371296,0.379930694,6221202,7938645
164,6/13/2021,Arizona,3480815,2754164,7278717,0.478218208,0.378385916,6202357,7938645
165,6/12/2021,Arizona,3472644,2742773,7278717,0.47709562,0.376820942,6183095,7938645
166,6/11/2021,Arizona,3458651,2723480,7278717,0.475173166,0.374170338,6150227,7914445
167,6/10/2021,Arizona,3445917,2709020,7278717,0.473423682,0.372183724,6122967,7905885
168,6/9/2021,Arizona,3445342,2708157,7278717,0.473344684,0.372065159,6121904,7904465
